draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,Unnamed: 30
2010,22,11,81.0,83.25,88.75,111.5,28.0,139.5,23.0,236,8.5,9.0,9.25,111,9.4,1,1,0.574,0.0,0.73,0,0,1,1,338,
2013,21,18,70.25,71.5,70.75,89.5,44.0,133.5,34.5,171,3.8,7.5,8.75,68,11.2,1,1,0.43799999999999994,0.38,0.81,1,0,0,1,254,
2012,21,8,78.0,79.0,79.25,100.5,37.5,138.0,31.0,197,3.2,8.75,10.25,69,12.3,1,1,0.45299999999999996,0.36,0.76,0,1,0,1,410,
2015,23,27,79.5,80.5,85.5,108.0,37.5,145.5,29.0,227,6.4,9.0,9.75,123,11.3,1,1,0.521,0.308,0.7709999999999999,0,1,0,1,190,
2012,21,4,74.5,76.0,79.25,98.0,37.11140654268575,135.86803245766544,30.823839724436624,221,8.5,8.5,9.5,71,9.7,1,1,0.45299999999999996,0.35,0.75,1,0,0,1,365,
2013,22,34,71.0,72.0,76.5,94.5,40.5,135.0,33.0,188,5.9,8.25,9.5,132,15.5,1,1,0.45,0.42,0.8,1,0,0,1,205,
2015,23,0,78.75,79.5,83.0,104.5,37.5,142.0,33.5,208,4.6,9.0,8.75,0,0.0,1,1,0.0,0.0,0.0,0,1,0,0,4,
2015,23,20,76.25,77.5,79.5,101.5,31.0,132.5,29.5,181,6.6,8.0,8.5,68,15.0,1,1,0.535,0.3,0.81,1,0,0,1,121,
2009,22,33,79.0,80.25,83.0,106.5,35.0,141.5,28.0,227,4.8,8.787862022339201,9.453171017918068,139,9.6,1,1,0.524,0.33,0.69,0,1,0,1,649,
2011,20,12,77.0,78.0,82.0,103.5,36.0,139.5,29.0,193,5.1,9.0,8.25,68,19.0,1,1,0.495,0.31,0.8,1,0,0,1,364,
2015,19,30,80.0,81.25,87.5,110.0,32.48486841883875,142.26132772540865,27.97012470184967,222,11.9,9.5,9.25,36,11.6,1,1,0.47,0.42,0.63,0,1,0,1,123,
