name,player,college,draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,success
Jarvis Varnado,72,Mississippi State University,2010,24,41,80.25,82,87.5,109.5,32.5,142,29.5,210,9.5,9.25,9.5,141,10,1,1,0.589,0.25,0.6,0,1,0,1,37,
Devin Ebanks,73,West Virginia University,2010,21,43,79,80.25,84.25,107.5,32,139.5,23.5,208,7.9,8.25,9,69,11.2,1,1,0.463,0.11,0.74,0,1,0,1,63,
Jerome Jordan,74,University of Tulsa,2010,25,44,83.5,84.75,89.25,113,,,,244,6.9,9,10.25,133,11.3,1,1,0.567,0,0.7,0,0,1,1,65,
DeMarcus Cousins,75,University of Kentucky,2010,20,5,81.5,82.75,89.75,113,27.5,140.5,23.5,292,16.4,9.25,10,38,15.1,1,1,0.558,0.17,0.6,0,0,1,1,535,
Solomon Alabi,76,Florida State University,2010,22,50,83.5,84.75,89,113,26,139,22.5,237,5,9.25,9.25,77,9.1,1,1,0.534,0,0.75,0,0,1,1,26,
Willie Warren,77,University of Oklahoma,2010,21,54,74.5,75.75,78,99.5,31.5,131,23,208,7.6,8.5,9.5,57,15.2,1,1,0.459,0.35,0.79,1,0,0,1,19,
Derrick Caracter,78,"University of Louisville, University of Texas at El Paso",2010,22,58,80.25,81.5,84.25,107.25,30.5,137.75,25,280,12.8,9,10.25,79,10.3,1,1,0.563,0.31,0.63,0,1,0,1,41,
Ekpe Udoh,79,"University of Michigan, Baylor University",2010,23,6,80.75,81.75,88.5,106.5,33.5,140,31,237,8,9.5,8.75,103,8.4,1,1,0.472,0.29,0.65,0,0,1,1,331,
Greg Monroe,80,Georgetown University,2010,20,7,81.75,83,86.25,108.5,29,137.5,25,247,11.2,8.75,9.5,65,14.5,1,1,0.543,0.27,0.68,0,0,1,1,587,
Al-Farouq Aminu,81,Wake Forest University,2010,20,8,79.25,80.5,87.25,108.5,33.5,142,27,216,8.2,9.5,9.5,62,14.4,1,1,0.476,0.24,0.69,0,1,0,1,587,
Gordon Hayward,82,Butler University,2010,20,9,78.75,80,79.75,103,34.5,137.5,30.5,211,6.9,8.5,9.25,69,14.4,1,1,0.47,0.37,0.82,0,1,0,1,517,
Manny Harris,83,University of Michigan,2010,21,0,76,77.5,79.25,102,,,,185,3.8,8.5,9,98,17,1,1,0.406,0.32,0.83,1,0,0,0,93,
Sherron Collins,84,University of Kansas,2010,23,0,70.25,71.75,74.5,94,33,127,27.5,217,9.2,8.5,9.5,143,13.2,1,1,0.444,0.38,0.81,1,0,0,0,20,
Jimmer Fredette,85,Brigham Young University,2011,22,10,72.75,74.5,76.5,96.5,33,129.5,28,196,7.7,8,8.5,139,18.7,1,1,0.455,0.39,0.88,1,0,0,1,235,
Klay Thompson,86,Washington State University,2011,21,11,77.75,79.25,81,103.5,31.5,135,26.5,206,8,8.75,9.25,98,17.9,1,1,0.424,0.39,0.83,1,0,0,1,536,
Alec Burks,87,University of Colorado,2011,20,12,77,78,82,103.5,36,139.5,29,193,5.1,9,8.25,68,19,1,1,0.495,0.31,0.8,1,0,0,1,364,
Markieff Morris,88,University of Kansas,2011,22,13,79.75,81.25,82.75,106.5,31.5,138,27,241,10.2,8.5,8.25,109,8.5,1,1,0.553,0.4,0.65,0,1,0,1,519,
Marcus Morris,89,University of Kansas,2011,22,14,79,80.75,82,105.5,33,138.5,29,230,8,8.25,8.5,109,12.6,1,1,0.555,0.36,0.66,0,1,0,1,469,
Kawhi Leonard,90,San Diego State University,2011,20,15,78,79,87,106,32,138,25.5,227,5.4,9.75,11.25,70,14.1,1,1,0.449,0.25,0.74,0,1,0,1,407,
Nikola Vucevic,91,University of Southern California,2011,21,16,82.25,83.75,88.5,112.5,25,137.5,23.5,260,6.1,9.25,10.25,87,11.1,1,1,0.509,0.3,0.75,0,0,1,1,454,
Iman Shumpert,92,Georgia Institute of Technology,2011,21,17,76.25,77.5,81.5,99.5,42,141.5,36.5,222,6.5,9,9,92,12.7,1,1,0.396,0.31,0.74,1,0,0,1,384,
Chris Singleton,93,Florida State University,2011,22,18,79.75,81,85,103.5,37.5,141,30.5,230,7.4,9.25,10,95,10.3,1,1,0.419,0.33,0.59,0,1,0,1,148,
Tobias Harris,94,University of Tennessee,2011,19,19,78.5,79.75,83,103.5,37.5,141,31.5,223,8.4,8.75,9,34,15.3,1,1,0.46,0.3,0.75,0,1,0,1,462,
Derrick Williams,95,University of Arizona,2011,20,2,79.25,80.75,85.5,108,34.5,142.5,29,248,10.8,9,9.75,69,17.8,1,1,0.586,0.51,0.72,0,1,0,1,428,
Nolan Smith,96,Duke University,2011,23,21,73.5,75.5,77.5,99,34,133,28.5,188,5.6,8.5,9.25,143,13.4,1,1,0.448,0.37,0.8,1,0,0,1,84,
Kenneth Faried,97,Morehead State University,2011,22,22,78,79.5,84,108,35,143,30.5,225,6.3,8.5,10.25,136,14.8,1,1,0.569,0.25,0.58,0,1,0,1,441,
Marshon Brooks,98,Providence College,2011,22,25,76.25,77.25,85,101,38.5,139.5,34,195,5.2,9,10.5,113,14.4,1,1,0.464,0.33,0.74,1,1,0,1,169,
Jordan Hamilton,99,University of Texas at Austin,2011,21,26,78.75,80.5,81.5,104,32,136,25,228,9.8,9,9.25,70,14.5,1,1,0.43,0.38,0.71,1,1,0,1,151,
JaJuan Johnson,100,Purdue University,2011,22,27,81,82,86,107.5,38,145.5,33.5,220,7.5,9,10,140,13.7,1,1,0.501,0.25,0.74,0,1,0,1,36,
Norris Cole,101,Cleveland State University,2011,23,28,72.25,73.75,74.25,95.5,38.5,134,29.5,174,4.7,8.5,9.5,140,14.1,1,1,0.435,0.32,0.83,1,0,0,1,360,
Cory Joseph,102,University of Texas at Austin,2011,20,29,74,75.25,77.5,99,35,134,27.5,186,9.7,8.5,10.5,36,10.4,1,1,0.422,0.41,0.7,1,0,0,1,445,
Enes Kanter,103,0,2011,19,3,81.75,83.25,85.5,109.5,32.5,142,26,259,5.9,9.5,10.75,0,0,1,1,0,0,0,0,0,1,1,516,
Jimmy Butler,104,Marquette University,2011,22,30,78,79.75,79.5,101.5,39,140.5,32,222,5.4,9,9,106,12,1,1,0.508,0.38,0.77,0,1,0,1,456,
Justin Harper,105,University of Richmond,2011,22,32,80,80.75,83.75,106,33,139,28.5,228,4,9,9.25,137,10.6,1,1,0.483,0.38,0.71,0,1,0,1,22,
Kyle Singler,106,Duke University,2011,24,33,79.5,80.5,82.1,106,30,136,23,228,10,8.25,8.75,148,16.2,1,1,0.433,0.36,0.77,0,1,0,1,356,
Shelvin Mack,107,Butler University,2011,21,34,73,74.5,79.5,96.5,39,135.5,32,209,7.1,8.25,9.25,108,14.1,1,1,0.419,0.36,0.76,1,0,0,1,397,
Tyler Honeycutt,108,"University of California, Los Angeles",2011,21,35,78.75,80.25,81,105,37,142,30,187,5.3,8.5,9.5,59,10.3,1,1,0.431,0.36,0.68,0,1,0,1,24,
Jordan Williams,109,University of Maryland,2011,21,36,79.75,81,84.25,106.5,30.5,137,25,247,12.1,9.25,10,66,13.2,1,1,0.528,0,0.56,0,1,0,1,43,
