draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed
2011,21,36,79.75,81.0,84.25,106.5,30.5,137.0,25.0,247,12.1,9.25,10.0,66,13.2,1,1,0.528,0.0,0.56,0,1,0,1,43
2012,27,33,80.75,82.0,87.0,108.5,32.5,141.0,30.0,230,5.0,9.0,9.25,69,9.7,1,1,0.627,0.0,0.53,0,0,1,1,92
2009,20,37,77.25,78.5,86.0,106.5,33.0,139.5,26.0,277,12.0,9.059416310796848,9.673311921597854,72,13.6,1,1,0.568,0.0,0.61,0,1,0,1,424
2014,19,9,80.0,81.5,88.25,108.0,37.0,145.0,31.0,247,7.3,9.75,11.75,30,11.3,1,1,0.523,0.49,0.72,0,1,0,1,231
2012,20,11,83.75,85.25,87.0,108.0,32.5,140.5,30.0,250,5.7,9.25,11.0,65,7.7,1,1,0.5670000000000001,0.08,0.73,0,0,1,1,331
2009,22,11,77.0,78.25,81.0,103.5,37.0,140.5,30.5,213,5.1,8.605502781806052,9.30251759406238,140,11.2,1,1,0.4,0.32,0.59,0,1,0,1,153
2009,22,40,79.5,80.5,86.5,107.5,35.5,143.0,30.5,225,8.6,9.104807663695928,9.710391354351401,106,10.3,1,1,0.573,0.42,0.72,0,1,0,1,171
2014,24,0,74.5,76.25,79.0,99.0,36.767162406362104,135.6980020535935,30.611806016330444,219,9.2,9.0,9.0,140,15.3,1,1,0.419,0.35,0.78,1,0,0,0,155
2013,23,21,81.75,82.75,87.5,111.5,31.882100610838954,142.2621766388554,27.598304561286415,230,5.4,9.0,10.0,102,8.3,1,1,0.545,0.33,0.64,0,0,1,1,374
2012,22,22,82.75,84.0,86.5,110.0,31.0,141.0,29.5,255,9.2,9.0,10.0,63,4.9,1,1,0.5760000000000001,0.0,0.55,0,0,1,1,6
2011,22,27,81.0,82.0,86.0,107.5,38.0,145.5,33.5,220,7.5,9.0,10.0,140,13.7,1,1,0.501,0.25,0.74,0,1,0,1,36
2009,22,33,79.0,80.25,83.0,106.5,35.0,141.5,28.0,227,4.8,8.78706819340237,9.450835325076568,139,9.6,1,1,0.524,0.33,0.69,0,1,0,1,649
2009,23,28,76.75,78.0,79.25,101.0,28.0,129.0,24.5,197,6.9,7.75,9.25,136,16.0,1,1,0.425,0.33,0.83,1,0,0,1,401
2012,22,16,79.0,80.0,84.0,104.5,34.617735216331916,139.5592812213946,29.285865376111072,261,10.6,9.5,11.5,34,13.4,1,1,0.534,0.33,0.5,0,1,0,1,3
2015,23,0,72.75,73.5,79.0,96.5,39.5,136.0,33.5,179,4.5,8.5,9.5,144,16.5,1,1,0.428,0.39,0.81,1,0,0,0,26
2012,19,15,79.25,80.75,84.0,102.5,37.0,139.5,32.5,207,5.3,9.25,10.25,32,15.5,1,1,0.452,0.22,0.68,0,1,0,1,415
2014,20,35,79.0,80.5,85.25,103.5,36.0,139.5,31.0,263,8.2,9.75,10.5,87,13.0,1,1,0.53,0.0,0.63,0,1,0,1,28
2009,23,29,73.0,74.0,78.0,97.5,32.5,130.0,28.0,183,5.2,8.333154664411573,9.080040997541092,130,16.8,1,1,0.442,0.38,0.8,1,0,0,1,394
2012,24,26,82.5,83.75,84.75,105.5,40.5,146.0,34.0,252,11.4,9.25,9.0,135,4.8,1,1,0.557,1.0,0.63,0,0,1,1,327
2010,21,34,74.0,75.25,80.0,99.5,38.5,138.0,31.5,195,5.6,8.25,9.25,101,14.3,1,1,0.467,0.29,0.75,1,0,0,1,47
2014,20,22,75.5,76.75,82.0,102.0,29.5,131.5,24.5,209,10.8,8.5,7.5,69,16.4,1,1,0.467,0.33,0.84,1,0,0,1,32
2015,19,24,72.25,74.0,77.0,97.0,32.5,129.5,26.5,185,6.5,8.25,8.75,39,11.8,1,1,0.41700000000000004,0.38,0.89,1,0,0,1,177
2009,22,46,77.25,78.5,82.0,103.0,33.0,136.0,29.0,208,5.6,8.69628548760421,9.376676459569474,145,9.4,1,1,0.455,0.38,0.85,1,0,0,1,538
2013,20,7,75.5,76.75,79.75,100.5,42.0,142.5,32.5,189,5.0,8.75,9.5,37,15.9,1,1,0.495,0.42,0.87,1,0,0,1,347
2015,19,2,75.25,77.0,81.75,102.0,35.59474757543655,137.8217055958841,29.888565667119877,193,8.3,8.75,9.75,35,19.3,1,1,0.449,0.41,0.76,1,0,0,1,189
2010,22,50,83.5,84.75,89.0,113.0,26.0,139.0,22.5,237,5.0,9.25,9.25,77,9.1,1,1,0.534,0.0,0.75,0,0,1,1,26
2009,21,23,79.75,81.25,81.25,106.5,32.5,139.0,25.5,211,8.6,8.628198458255593,9.321057310439153,0,0.0,1,1,0.0,0.0,0.0,0,1,0,1,552
2013,22,41,76.0,77.25,83.25,103.5,35.00854015997377,138.98008934622445,29.526945492514592,191,8.3,8.5,8.25,85,13.7,1,1,0.426,0.3,0.78,1,0,0,1,24
2015,21,0,76.5,78.0,80.25,100.5,34.5,135.0,28.5,209,6.0,8.3,10.0,79,12.4,1,1,0.41,0.34,0.79,1,0,0,0,34
2009,22,20,74.25,75.25,74.5,97.0,31.5,128.5,28.5,164,5.4,8.015415194118017,8.82048496826626,130,15.0,1,1,0.449,0.37,0.79,1,0,0,1,267
2012,20,7,79.0,80.0,83.25,101.5,39.5,141.0,38.0,228,9.6,9.0,8.5,75,16.3,1,1,0.43,0.35,0.73,0,1,0,1,463
2013,22,44,82.25,83.5,85.0,108.0,33.5,141.5,28.0,230,6.8,8.5,9.0,133,15.3,1,1,0.501,0.31,0.82,0,1,0,1,242
2013,22,35,76.5,77.75,81.25,101.5,40.5,142.0,33.0,211,8.5,8.5,9.0,134,18.2,1,1,0.569,0.48,0.8,0,1,0,1,1000
2011,22,30,78.0,79.75,79.5,101.5,39.0,140.5,32.0,222,5.4,9.0,9.0,106,12.0,1,1,0.508,0.38,0.77,0,1,0,1,456
